measurement_time	Y	X	Z
6716613951056305152	0.735168	0.510956	0.134583
6716613972449538048	0.7341	0.509186	0.134613
6716613994207842304	0.73288	0.508881	0.134705
6716614015579598848	0.730255	0.510651	0.134674
6716614036878342144	0.732513	0.51239	0.13446
6716614058361767936	0.732147	0.510468	0.134644
6716614079883849728	0.730499	0.511047	0.134521
6716614101337210880	0.731689	0.509735	0.134521
6716614122975256576	0.731628	0.510712	0.134521
6716614144815165440	0.731873	0.511322	0.134521
6716614167647211520	0.732788	0.51236	0.134338
6716614189134932992	0.731506	0.507812	0.134705
6716614211301259264	0.730286	0.507141	0.134613
6716614233626499072	0.731812	0.509796	0.134491
6716614255178644480	0.730865	0.512024	0.134705
6716614276932654080	0.733246	0.512115	0.134552
6716614298622238720	0.734375	0.511169	0.134552
6716614319933867008	0.733398	0.511871	0.134613
6716614341735120896	0.733582	0.512054	0.134583
6716614364923649024	0.73465	0.511871	0.134521
6716614387772874752	0.732056	0.510712	0.134583
6716614408994308096	0.733368	0.509186	0.134644
6716614430941591552	0.729706	0.506683	0.134644
6716614453743572992	0.733276	0.510101	0.134613
6716614475145395200	0.73291	0.511047	0.134705
6716614496787734528	0.732483	0.50827	0.134613
6716614518756492288	0.73288	0.509125	0.134644
6716614541494049792	0.736694	0.512787	0.13443
6716614588549710848	0.732819	0.50705	0.134705
6716614611274383360	0.732269	0.50882	0.134644
6716614633041277952	0.733887	0.510193	0.13443
6716614654790991872	0.73288	0.511475	0.134552
6716614676347432960	0.732361	0.513702	0.13443
6716614697985477632	0.730896	0.507507	0.134827
6716614719743781888	0.733002	0.509125	0.134644
6716614741184259072	0.732361	0.511658	0.134521
6716614763333405696	0.734436	0.513916	0.134369
6716614784718047232	0.733185	0.513367	0.13446
6716614806871488512	0.732086	0.50647	0.134583
6716614829621931008	0.735474	0.513031	0.134399
6716614851410299904	0.732025	0.510345	0.134583
6716614873155719168	0.731689	0.509979	0.134552
6716614894922613760	0.731598	0.509094	0.134521
6716614916281485312	0.731995	0.509247	0.13446
6716614937962480640	0.73349	0.510193	0.134491
6716614959591936000	0.729858	0.507751	0.134491
6716614981466204160	0.73288	0.509766	0.134613
6716615002795012096	0.73175	0.509094	0.13446
6716615024664985600	0.731964	0.512695	0.134308
6716615046182771712	0.731781	0.509125	0.134521
6716615068057039872	0.732758	0.509949	0.134644
6716615089725150208	0.732422	0.506561	0.134705
6716615111577944064	0.731812	0.509918	0.13446
6716615132979765248	0.733063	0.511353	0.134521
6716615154845444096	0.732971	0.511261	0.134552
6716615176384705536	0.732178	0.509705	0.134552
6716615198336282624	0.731506	0.51059	0.134552
6716615219712334848	0.732544	0.510101	0.134644
6716615252397036544	0.735229	0.510468	0.134552
6716615275387996160	0.733154	0.510101	0.134491
6716615297665991680	0.734253	0.512604	0.134491
6716615320549577728	0.731567	0.510468	0.134491
